PROVINCIA,CANTON,DISTRITO,POBL_2022
Puntarenas,Osa,BahíaDrake,1162.0
Puntarenas,Quepos,Quepos,25665.0
Puntarenas,Quepos,Savegre,4116.0
Puntarenas,Quepos,Naranjito,4239.0
Puntarenas,Golfito,Golfito,11867.0
Puntarenas,Golfito,PuertoJiménez,12836.0
Puntarenas,Golfito,Guaycará,14120.0
Puntarenas,Golfito,Pavón,7700.0
Puntarenas,CotoBrus,SanVito,16629.0
Puntarenas,CotoBrus,Sabalito,13202.0
Puntarenas,CotoBrus,Aguabuena,7050.0
Puntarenas,CotoBrus,Limoncito,4152.0
Puntarenas,CotoBrus,Pittier,3247.0
Puntarenas,CotoBrus,GutiérrezBraun,
Puntarenas,Parrita,Parrita,20984.0
Puntarenas,Corredores,Corredor,20050.0
Puntarenas,Corredores,LaCuesta,5333.0
Puntarenas,Corredores,Canoas,15929.0
Puntarenas,Corredores,Laurel,12172.0
Puntarenas,Garabito,Jacó,18613.0
Puntarenas,Garabito,Tárcoles,8791.0
Limón,Limón,Limón,60710.0
Limón,Limón,ValleLaEstrella,20818.0
Limón,Limón,RíoBlanco,10257.0
Limón,Limón,Matama,8451.0
Limón,Pococí,Guápiles,39611.0
Limón,Pococí,Jiménez,13052.0
Limón,Pococí,Rita,29241.0
Limón,Pococí,Roxana,20342.0
Limón,Pococí,Cariari,40278.0
Limón,Pococí,Colorado,5040.0
Limón,Pococí,LaColonia,7110.0
Limón,Siquirres,Siquirres,34576.0
Limón,Siquirres,Pacuarito,10804.0
Limón,Siquirres,Florida,2656.0
Limón,Siquirres,Germania,3062.0
Limón,Siquirres,ElCairo,7628.0
Limón,Siquirres,Alegría,6947.0
Limón,Siquirres,Reventazón,
Limón,Talamanca,Bratsi,10590.0
Limón,Talamanca,Sixaola,11847.0
Limón,Talamanca,Cahuita,13656.0
Limón,Talamanca,Telire,8709.0
Limón,Matina,Matina,10437.0
Limón,Matina,Batán,20814.0
Limón,Matina,Carrandi,16140.0
Limón,Guácimo,Guácimo,26152.0
Limón,Guácimo,Mercedes,2357.0
Limón,Guácimo,Pocora,8494.0
Limón,Guácimo,RíoJiménez,11836.0
Limón,Guácimo,Duacarí,8182.0
