ID,PROVINCIA,CANTON,DISTRITO,COD_POSTAL,AREA_KM2,POBL_2022,POBL_2011,POBL_2000
Alajuela.SanCarlos.LaFortuna,Alajuela,SanCarlos,LaFortuna,21007,229.7,19584.0,15383.0,9743.0
Alajuela.SanCarlos.LaTigra,Alajuela,SanCarlos,LaTigra,21008,56.44,7964.0,6374.0,5368.0
Alajuela.SanCarlos.LaPalmera,Alajuela,SanCarlos,LaPalmera,21009,100.45,7940.0,6321.0,4608.0
Alajuela.SanCarlos.Venado,Alajuela,SanCarlos,Venado,21010,169.28,2173.0,1754.0,1705.0
Alajuela.SanCarlos.Cutris,Alajuela,SanCarlos,Cutris,21011,848.01,15537.0,10334.0,7892.0
Alajuela.SanCarlos.Monterrey,Alajuela,SanCarlos,Monterrey,21012,220.2,4321.0,3455.0,3124.0
Alajuela.SanCarlos.Pocosol,Alajuela,SanCarlos,Pocosol,21013,660.75,19696.0,15395.0,12177.0
Alajuela.Zarcero.Zarcero,Alajuela,Zarcero,Zarcero,21101,11.72,4397.0,4004.0,3790.0
Alajuela.Zarcero.Laguna,Alajuela,Zarcero,Laguna,21102,23.36,2031.0,1674.0,1579.0
Alajuela.Zarcero.Tapesco,Alajuela,Zarcero,Tapesco,21103,6.33,1582.0,1305.0,1040.0
Alajuela.Zarcero.Guadalupe,Alajuela,Zarcero,Guadalupe,21104,22.58,1427.0,1148.0,774.0
Alajuela.Zarcero.Palmira,Alajuela,Zarcero,Palmira,21105,30.44,1712.0,1334.0,1308.0
Alajuela.Zarcero.Zapote,Alajuela,Zarcero,Zapote,21106,44.77,944.0,739.0,723.0
Alajuela.Zarcero.Brisas,Alajuela,Zarcero,Brisas,21107,17.87,2536.0,2001.0,1631.0
Alajuela.Sarchí.SarchíNorte,Alajuela,Sarchí,SarchíNorte,21201,21.3,8382.0,7140.0,6470.0
Alajuela.Sarchí.SarchíSur,Alajuela,Sarchí,SarchíSur,21202,6.36,6539.0,5143.0,4337.0
Alajuela.Sarchí.ToroAmarillo,Alajuela,Sarchí,ToroAmarillo,21203,90.93,380.0,273.0,295.0
Alajuela.Sarchí.SanPedro,Alajuela,Sarchí,SanPedro,21204,10.92,4463.0,3408.0,3296.0
Alajuela.Sarchí.Rodríguez,Alajuela,Sarchí,Rodríguez,21205,7.21,2832.0,2121.0,1841.0
Alajuela.Upala.Upala,Alajuela,Upala,Upala,21301,148.65,16850.0,16139.0,12372.0
Alajuela.Upala.AguasClaras,Alajuela,Upala,AguasClaras,21302,408.93,5714.0,4939.0,5026.0
Alajuela.Upala.SanJosé,Alajuela,Upala,SanJosé,21303,285.39,8795.0,7352.0,6826.0
Alajuela.Upala.Bijagua,Alajuela,Upala,Bijagua,21304,186.39,5363.0,4538.0,4042.0
Alajuela.Upala.Delicias,Alajuela,Upala,Delicias,21305,98.57,5479.0,4483.0,3618.0
Alajuela.Upala.DosRíos,Alajuela,Upala,DosRíos,21306,218.07,4017.0,3194.0,2776.0
Alajuela.Upala.Yolillal,Alajuela,Upala,Yolillal,21307,139.54,4129.0,3308.0,3019.0
Alajuela.Upala.Canalete,Alajuela,Upala,Canalete,21308,106.45,5119.0,,
Alajuela.LosChiles.LosChiles,Alajuela,LosChiles,LosChiles,21401,504.21,21714.0,13262.0,9900.0
Alajuela.LosChiles.CañoNegro,Alajuela,LosChiles,CañoNegro,21402,301.0,2333.0,1808.0,1594.0
Alajuela.LosChiles.ElAmparo,Alajuela,LosChiles,ElAmparo,21403,313.29,7772.0,5992.0,5390.0
Alajuela.LosChiles.SanJorge,Alajuela,LosChiles,SanJorge,21404,214.94,3369.0,2673.0,2848.0
